component_id,machine_id,spindle_speed,feed_rate,depth_of_cut,coolant_temperature,tool_id
CNC-2631,CNC-04,6039,1182,2.5,22.3,T-19
CNC-2632,CNC-04,6034,1194,2.5,21.3,T-17
CNC-2633,CNC-05,5938,1203,2.5,21.3,T-14
CNC-2634,CNC-05,6081,1203,2.5,20.1,T-17
CNC-2635,CNC-05,5982,1178,2.5,20.2,T-04
CNC-2636,CNC-06,6002,1184,2.5,22.3,T-01
CNC-2637,CNC-06,6020,1190,2.5,21.0,T-20
CNC-2638,CNC-06,6056,1185,2.5,21.6,T-09
CNC-2639,CNC-07,5953,1209,2.5,20.8,T-16
CNC-2640,CNC-07,6037,1175,2.5,20.7,T-12
CNC-2641,CNC-07,5964,1166,2.5,22.0,T-19
CNC-2642,CNC-08,5939,1208,2.5,22.0,T-09
CNC-2643,CNC-08,5993,1200,2.5,20.9,T-05
CNC-2644,CNC-08,6000,1214,2.5,17.6,T-14
CNC-2645,CNC-01,6009,1183,2.5,20.3,T-11
CNC-2646,CNC-01,5987,1209,2.5,21.7,T-18
CNC-2647,CNC-01,6022,1179,2.5,21.9,T-07
CNC-2648,CNC-02,6013,1183,2.5,20.5,T-04
CNC-2649,CNC-02,5971,1217,2.5,22.7,T-09
CNC-2650,CNC-02,5904,1208,2.5,23.6,T-12
CNC-2651,CNC-03,6039,1230,2.5,23.0,T-18
CNC-2652,CNC-03,6053,1203,2.5,20.8,T-12
CNC-2653,CNC-03,5969,1211,2.5,20.2,T-03
CNC-2654,CNC-04,5947,1218,2.5,22.7,T-05
CNC-2655,CNC-04,5912,1183,2.5,21.0,T-20
CNC-2656,CNC-04,6021,1188,2.5,22.5,T-03
CNC-2657,CNC-05,5960,1187,2.5,23.1,T-09
CNC-2658,CNC-05,5884,1199,2.5,22.0,T-15
CNC-2659,CNC-05,5972,1206,2.5,20.0,T-15
CNC-2660,CNC-06,6025,1199,2.5,22.1,T-01
CNC-2661,CNC-06,6012,1219,2.5,23.5,T-03
CNC-2662,CNC-06,6040,1195,2.5,23.8,T-04
CNC-2663,CNC-07,5835,1190,2.5,21.4,T-13
CNC-2664,CNC-07,6028,1176,2.5,21.4,T-04
CNC-2665,CNC-07,6010,1232,2.5,19.4,T-10
CNC-2666,CNC-08,5981,1202,2.5,21.1,T-15
CNC-2667,CNC-08,6028,1186,2.5,21.3,T-12
CNC-2668,CNC-08,6020,1223,2.5,19.1,T-16
CNC-2669,CNC-01,6075,1194,2.5,20.9,T-05
CNC-2670,CNC-01,5970,1199,2.5,20.4,T-06
CNC-2671,CNC-01,5929,1195,2.5,19.0,T-14
CNC-2672,CNC-02,5968,1201,2.5,22.7,T-10
CNC-2673,CNC-02,5974,1211,2.5,22.0,T-10
CNC-2674,CNC-02,6004,1200,2.5,23.0,T-10
CNC-2675,CNC-03,5993,1200,2.5,20.9,T-10
CNC-2676,CNC-03,5981,1221,2.5,22.8,T-16
CNC-2677,CNC-03,5926,1179,2.5,21.6,T-10
CNC-2678,CNC-04,6036,1181,2.5,20.6,T-18
CNC-2679,CNC-04,5984,1171,2.5,21.1,T-06
CNC-2680,CNC-04,6019,1182,2.5,21.6,T-13
CNC-2681,CNC-05,6026,1171,2.5,20.5,T-20
CNC-2682,CNC-05,5950,1198,2.5,20.6,T-10
CNC-2683,CNC-05,6017,1215,2.5,22.3,T-03
CNC-2684,CNC-06,5973,1190,2.5,20.8,T-15
CNC-2685,CNC-06,6076,1243,2.5,21.0,T-01
CNC-2686,CNC-06,6021,1196,2.5,21.7,T-01
CNC-2687,CNC-07,6003,1211,2.5,23.4,T-01
CNC-2688,CNC-07,6051,1205,2.5,21.8,T-16
CNC-2689,CNC-07,5913,1208,2.5,20.1,T-12
CNC-2690,CNC-08,6040,1209,2.5,23.3,T-11
CNC-2691,CNC-08,6050,1209,2.5,22.3,T-13
CNC-2692,CNC-08,5976,1197,2.5,22.2,T-07
CNC-2693,CNC-01,5898,1235,2.5,21.6,T-08
CNC-2694,CNC-01,5986,1166,2.5,21.5,T-08
CNC-2695,CNC-01,5982,1188,2.5,22.0,T-17
CNC-2696,CNC-02,5960,1187,2.5,21.1,T-13
CNC-2697,CNC-02,5997,1174,2.5,23.0,T-02
CNC-2698,CNC-02,6071,1213,2.5,21.5,T-04
CNC-2699,CNC-03,6036,1197,2.5,23.9,T-07
CNC-2700,CNC-03,6027,1198,2.5,21.2,T-14
CNC-2701,CNC-03,6014,1200,2.5,22.1,T-08
CNC-2702,CNC-04,5973,1201,2.5,21.2,T-16
CNC-2703,CNC-04,6058,1215,2.5,20.6,T-16
CNC-2704,CNC-04,6026,1189,2.5,23.1,T-02
CNC-2705,CNC-05,5956,1201,2.5,19.5,T-05
CNC-2706,CNC-05,5918,1207,2.5,22.0,T-18
CNC-2707,CNC-05,6048,1202,2.5,20.3,T-07
CNC-2708,CNC-06,6014,1193,2.5,21.5,T-05
CNC-2709,CNC-06,5989,1187,2.5,20.0,T-18
CNC-2710,CNC-06,5988,1160,2.5,20.5,T-06
CNC-2711,CNC-07,6054,1186,2.5,22.0,T-20
CNC-2712,CNC-07,5989,1210,2.5,20.2,T-03
CNC-2713,CNC-07,6071,1200,2.5,20.1,T-15
CNC-2714,CNC-08,5896,1186,2.5,21.2,T-13
CNC-2715,CNC-08,6005,1231,2.5,20.7,T-20
CNC-2716,CNC-08,5970,1186,2.5,21.8,T-18
CNC-2717,CNC-01,5966,1188,2.5,19.6,T-05
CNC-2718,CNC-01,6038,1234,2.5,22.6,T-11
CNC-2719,CNC-01,6005,1204,2.5,22.4,T-05
CNC-2720,CNC-02,6002,1165,2.5,21.0,T-04
CNC-2721,CNC-02,5923,1194,2.5,20.5,T-16
CNC-2722,CNC-02,6010,1199,2.5,22.3,T-09
CNC-2723,CNC-03,5935,1161,2.5,21.3,T-07
CNC-2724,CNC-03,6014,1178,2.5,19.8,T-03
CNC-2725,CNC-03,6038,1168,2.5,23.0,T-14
CNC-2726,CNC-04,5964,1207,2.5,21.9,T-02
CNC-2727,CNC-04,6030,1206,2.5,21.6,T-10
CNC-2728,CNC-04,6046,1187,2.5,23.1,T-17
CNC-2729,CNC-05,5964,1178,2.5,21.3,T-17
CNC-2730,CNC-05,5977,1199,2.5,20.1,T-06
CNC-2731,CNC-05,5965,1217,2.5,19.5,T-19
CNC-2732,CNC-06,5979,1208,2.5,22.0,T-14
CNC-2733,CNC-06,5966,1179,2.5,22.6,T-11
CNC-2734,CNC-06,6016,1175,2.5,20.5,T-20
CNC-2735,CNC-07,6028,1182,2.5,24.9,T-11
CNC-2736,CNC-07,5960,1201,2.5,22.0,T-14
CNC-2737,CNC-07,6011,1154,2.5,23.0,T-13
CNC-2738,CNC-08,6042,1200,2.5,20.7,T-09
CNC-2739,CNC-08,6066,1197,2.5,21.5,T-02
CNC-2740,CNC-08,6078,1257,2.5,23.2,T-17
CNC-2813,CNC-07,6009,1216,2.5,21.6,T-14
CNC-2814,CNC-07,5881,1219,2.5,21.9,T-14
CNC-2815,CNC-07,5935,1198,2.5,19.1,T-14
CNC-2816,CNC-07,5990,1188,2.5,21.0,T-14
CNC-2817,CNC-07,5990,1241,2.5,21.7,T-14
CNC-2818,CNC-07,6038,1191,2.5,21.5,T-14
CNC-2819,CNC-07,5968,1194,2.5,23.0,T-14
CNC-2820,CNC-07,6020,1176,2.5,22.4,T-14
CNC-2821,CNC-07,6062,1181,2.5,21.7,T-14
CNC-2822,CNC-07,5979,1196,2.5,21.7,T-14
CNC-2823,CNC-07,6017,1181,2.5,21.2,T-14
CNC-2824,CNC-07,5889,1179,2.5,22.0,T-14
CNC-2825,CNC-07,5894,1218,2.5,23.6,T-14
CNC-2826,CNC-07,6058,1199,2.5,23.0,T-14
CNC-2827,CNC-07,6063,1187,2.5,19.2,T-14
CNC-2828,CNC-07,5987,1182,2.5,21.2,T-14
CNC-2829,CNC-07,5959,1192,2.5,21.3,T-14
CNC-2830,CNC-07,5972,1168,2.5,21.3,T-14
CNC-2831,CNC-07,6082,1193,2.5,17.8,T-14
CNC-2832,CNC-07,5990,1168,2.5,21.0,T-14
CNC-2833,CNC-07,6027,1214,2.5,22.4,T-14
CNC-2834,CNC-07,6012,1185,2.5,19.5,T-14
CNC-2835,CNC-07,5957,1212,2.5,21.2,T-14
CNC-2836,CNC-07,5919,1186,2.5,20.8,T-14
CNC-2837,CNC-07,5948,1215,2.5,21.6,T-14
CNC-2838,CNC-07,5935,1185,2.5,17.7,T-14
CNC-2839,CNC-07,5994,1221,2.5,21.4,T-14
CNC-2840,CNC-07,5939,1215,2.5,20.9,T-14
CNC-2841,CNC-07,5978,1209,2.5,22.3,T-14
CNC-2842,CNC-07,6060,1201,2.5,20.5,T-14
CNC-2843,CNC-07,5945,1230,2.5,20.8,T-14
CNC-2844,CNC-07,5933,1157,2.5,22.0,T-14
CNC-2845,CNC-07,6007,1230,2.5,22.5,T-14
CNC-2846,CNC-07,6067,1228,2.5,22.6,T-14
CNC-2847,CNC-07,6000,1200,2.5,23.8,T-14
