component_id,machine_id,timestamp,dimension_name,expected_value,actual_value,tolerance,deviation,result,severity
CNC-2525,CNC-01,2026-09-06 04:00:00,Outer Diameter,25.0,25.038,0.1,0.038,PASS,Nominal
CNC-2548,CNC-08,2026-09-06 04:00:00,Outer Diameter,25.0,24.956,0.1,-0.044,PASS,Nominal
CNC-2540,CNC-06,2026-09-06 04:00:00,Outer Diameter,25.0,24.943,0.1,-0.057,PASS,Nominal
CNC-2534,CNC-04,2026-09-06 05:00:00,Outer Diameter,25.0,25.0,0.1,0.0,PASS,Nominal
CNC-2533,CNC-03,2026-09-06 05:00:00,Outer Diameter,25.0,24.983,0.1,-0.017,PASS,Nominal
CNC-2530,CNC-02,2026-09-06 05:00:00,Outer Diameter,25.0,25.024,0.1,0.024,PASS,Nominal
CNC-2543,CNC-07,2026-09-06 06:00:00,Outer Diameter,25.0,25.0,0.1,-0.0,PASS,Nominal
CNC-2529,CNC-02,2026-09-06 07:00:00,Outer Diameter,25.0,24.923,0.1,-0.077,PASS,Nominal
CNC-2545,CNC-07,2026-09-06 08:00:00,Outer Diameter,25.0,25.032,0.1,0.032,PASS,Nominal
CNC-2537,CNC-05,2026-09-06 10:00:00,Outer Diameter,25.0,25.004,0.1,0.004,PASS,Nominal
CNC-2547,CNC-08,2026-09-06 11:00:00,Outer Diameter,25.0,25.009,0.1,0.009,PASS,Nominal
CNC-2544,CNC-07,2026-09-06 11:00:00,Outer Diameter,25.0,25.049,0.1,0.049,PASS,Nominal
CNC-2527,CNC-01,2026-09-06 11:00:00,Outer Diameter,25.0,25.058,0.1,0.058,PASS,Nominal
CNC-2531,CNC-03,2026-09-06 11:00:00,Outer Diameter,25.0,25.008,0.1,0.008,PASS,Nominal
CNC-2535,CNC-04,2026-09-06 11:00:00,Outer Diameter,25.0,25.033,0.1,0.033,PASS,Nominal
CNC-2538,CNC-05,2026-09-06 11:00:00,Outer Diameter,25.0,25.01,0.1,0.01,PASS,Nominal
CNC-2539,CNC-05,2026-09-06 12:00:00,Outer Diameter,25.0,25.029,0.1,0.029,PASS,Nominal
CNC-2536,CNC-04,2026-09-06 12:00:00,Outer Diameter,25.0,25.056,0.1,0.056,PASS,Nominal
CNC-2541,CNC-06,2026-09-06 12:00:00,Outer Diameter,25.0,24.965,0.1,-0.035,PASS,Nominal
CNC-2528,CNC-02,2026-09-06 12:00:00,Outer Diameter,25.0,24.981,0.1,-0.019,PASS,Nominal
CNC-2546,CNC-08,2026-09-06 12:00:00,Outer Diameter,25.0,25.032,0.1,0.032,PASS,Nominal
CNC-2542,CNC-06,2026-09-06 13:00:00,Outer Diameter,25.0,25.02,0.1,0.02,PASS,Nominal
CNC-2532,CNC-03,2026-09-06 13:00:00,Outer Diameter,25.0,25.056,0.1,0.056,PASS,Nominal
CNC-2526,CNC-01,2026-09-06 13:00:00,Outer Diameter,25.0,25.013,0.1,0.013,PASS,Nominal
CNC-2572,CNC-08,2026-09-07 04:00:00,Outer Diameter,25.0,25.081,0.1,0.081,PASS,Nominal
CNC-2565,CNC-06,2026-09-07 04:00:00,Outer Diameter,25.0,24.99,0.1,-0.01,PASS,Nominal
CNC-2562,CNC-05,2026-09-07 05:00:00,Outer Diameter,25.0,25.025,0.1,0.025,PASS,Nominal
CNC-2566,CNC-06,2026-09-07 05:00:00,Outer Diameter,25.0,24.99,0.1,-0.01,PASS,Nominal
CNC-2557,CNC-03,2026-09-07 06:00:00,Outer Diameter,25.0,25.0,0.1,0.0,PASS,Nominal
CNC-2564,CNC-06,2026-09-07 06:00:00,Outer Diameter,25.0,24.967,0.1,-0.033,PASS,Nominal
CNC-2549,CNC-01,2026-09-07 06:00:00,Outer Diameter,25.0,25.02,0.1,0.02,PASS,Nominal
CNC-2553,CNC-02,2026-09-07 06:00:00,Outer Diameter,25.0,24.987,0.1,-0.013,PASS,Nominal
CNC-2559,CNC-04,2026-09-07 07:00:00,Outer Diameter,25.0,25.015,0.1,0.015,PASS,Nominal
CNC-2563,CNC-05,2026-09-07 08:00:00,Outer Diameter,25.0,24.913,0.1,-0.087,PASS,Nominal
CNC-2571,CNC-08,2026-09-07 08:00:00,Outer Diameter,25.0,24.968,0.1,-0.032,PASS,Nominal
CNC-2568,CNC-07,2026-09-07 08:00:00,Outer Diameter,25.0,24.994,0.1,-0.006,PASS,Nominal
CNC-2551,CNC-01,2026-09-07 08:00:00,Outer Diameter,25.0,25.021,0.1,0.021,PASS,Nominal
CNC-2556,CNC-03,2026-09-07 09:00:00,Outer Diameter,25.0,24.938,0.1,-0.062,PASS,Nominal
CNC-2569,CNC-07,2026-09-07 09:00:00,Outer Diameter,25.0,24.996,0.1,-0.004,PASS,Nominal
CNC-2561,CNC-05,2026-09-07 10:00:00,Outer Diameter,25.0,24.958,0.1,-0.042,PASS,Nominal
CNC-2555,CNC-03,2026-09-07 10:00:00,Outer Diameter,25.0,25.009,0.1,0.009,PASS,Nominal
CNC-2552,CNC-02,2026-09-07 10:00:00,Outer Diameter,25.0,25.02,0.1,0.02,PASS,Nominal
CNC-2560,CNC-04,2026-09-07 10:00:00,Outer Diameter,25.0,24.967,0.1,-0.033,PASS,Nominal
CNC-2554,CNC-02,2026-09-07 11:00:00,Outer Diameter,25.0,25.041,0.1,0.041,PASS,Nominal
CNC-2558,CNC-04,2026-09-07 13:00:00,Outer Diameter,25.0,25.025,0.1,0.025,PASS,Nominal
CNC-2567,CNC-07,2026-09-07 13:00:00,Outer Diameter,25.0,25.021,0.1,0.021,PASS,Nominal
CNC-2570,CNC-08,2026-09-07 13:00:00,Outer Diameter,25.0,25.012,0.1,0.012,PASS,Nominal
CNC-2550,CNC-01,2026-09-07 13:00:00,Outer Diameter,25.0,24.977,0.1,-0.023,PASS,Nominal
CNC-2583,CNC-04,2026-09-08 04:00:00,Outer Diameter,25.0,25.008,0.1,0.008,PASS,Nominal
CNC-2582,CNC-04,2026-09-08 04:00:00,Outer Diameter,25.0,25.046,0.1,0.046,PASS,Nominal
CNC-2584,CNC-04,2026-09-08 04:00:00,Outer Diameter,25.0,25.046,0.1,0.046,PASS,Nominal
CNC-2589,CNC-06,2026-09-08 05:00:00,Outer Diameter,25.0,25.021,0.1,0.021,PASS,Nominal
CNC-2586,CNC-05,2026-09-08 05:00:00,Outer Diameter,25.0,24.987,0.1,-0.013,PASS,Nominal
CNC-2590,CNC-06,2026-09-08 06:00:00,Outer Diameter,25.0,25.067,0.1,0.067,PASS,Nominal
CNC-2585,CNC-05,2026-09-08 06:00:00,Outer Diameter,25.0,25.057,0.1,0.057,PASS,Nominal
CNC-2577,CNC-02,2026-09-08 07:00:00,Outer Diameter,25.0,24.961,0.1,-0.039,PASS,Nominal
CNC-2578,CNC-02,2026-09-08 08:00:00,Outer Diameter,25.0,25.085,0.1,0.085,PASS,Nominal
CNC-2593,CNC-07,2026-09-08 08:00:00,Outer Diameter,25.0,25.016,0.1,0.016,PASS,Nominal
CNC-2581,CNC-03,2026-09-08 08:00:00,Outer Diameter,25.0,25.026,0.1,0.026,PASS,Nominal
CNC-2576,CNC-02,2026-09-08 10:00:00,Outer Diameter,25.0,24.924,0.1,-0.076,PASS,Nominal
CNC-2591,CNC-07,2026-09-08 10:00:00,Outer Diameter,25.0,25.0,0.1,0.0,PASS,Nominal
CNC-2574,CNC-01,2026-09-08 10:00:00,Outer Diameter,25.0,24.987,0.1,-0.013,PASS,Nominal
CNC-2595,CNC-08,2026-09-08 11:00:00,Outer Diameter,25.0,25.005,0.1,0.005,PASS,Nominal
CNC-2579,CNC-03,2026-09-08 11:00:00,Outer Diameter,25.0,24.963,0.1,-0.037,PASS,Nominal
CNC-2580,CNC-03,2026-09-08 11:00:00,Outer Diameter,25.0,25.002,0.1,0.002,PASS,Nominal
CNC-2592,CNC-07,2026-09-08 11:00:00,Outer Diameter,25.0,24.99,0.1,-0.01,PASS,Nominal
CNC-2573,CNC-01,2026-09-08 12:00:00,Outer Diameter,25.0,25.0,0.1,-0.0,PASS,Nominal
CNC-2596,CNC-08,2026-09-08 12:00:00,Outer Diameter,25.0,25.034,0.1,0.034,PASS,Nominal
CNC-2587,CNC-05,2026-09-08 12:00:00,Outer Diameter,25.0,25.032,0.1,0.032,PASS,Nominal
CNC-2588,CNC-06,2026-09-08 13:00:00,Outer Diameter,25.0,25.002,0.1,0.002,PASS,Nominal
CNC-2594,CNC-08,2026-09-08 13:00:00,Outer Diameter,25.0,25.039,0.1,0.039,PASS,Nominal
CNC-2575,CNC-01,2026-09-08 13:00:00,Outer Diameter,25.0,24.98,0.1,-0.02,PASS,Nominal
CNC-2611,CNC-05,2026-09-09 04:00:00,Outer Diameter,25.0,24.928,0.1,-0.072,PASS,Nominal
CNC-2599,CNC-01,2026-09-09 04:00:00,Outer Diameter,25.0,24.958,0.1,-0.042,PASS,Nominal
CNC-2615,CNC-07,2026-09-09 04:00:00,Outer Diameter,25.0,25.024,0.1,0.024,PASS,Nominal
CNC-2613,CNC-06,2026-09-09 04:00:00,Outer Diameter,25.0,24.958,0.1,-0.042,PASS,Nominal
CNC-2605,CNC-03,2026-09-09 04:00:00,Outer Diameter,25.0,24.963,0.1,-0.037,PASS,Nominal
CNC-2617,CNC-07,2026-09-09 06:00:00,Outer Diameter,25.0,24.989,0.1,-0.011,PASS,Nominal
CNC-2602,CNC-02,2026-09-09 07:00:00,Outer Diameter,25.0,25.02,0.1,0.02,PASS,Nominal
CNC-2612,CNC-06,2026-09-09 07:00:00,Outer Diameter,25.0,25.03,0.1,0.03,PASS,Nominal
CNC-2608,CNC-04,2026-09-09 07:00:00,Outer Diameter,25.0,24.984,0.1,-0.016,PASS,Nominal
CNC-2619,CNC-08,2026-09-09 08:00:00,Outer Diameter,25.0,25.011,0.1,0.011,PASS,Nominal
CNC-2620,CNC-08,2026-09-09 08:00:00,Outer Diameter,25.0,25.031,0.1,0.031,PASS,Nominal
CNC-2598,CNC-01,2026-09-09 08:00:00,Outer Diameter,25.0,24.988,0.1,-0.012,PASS,Nominal
CNC-2606,CNC-04,2026-09-09 08:00:00,Outer Diameter,25.0,25.007,0.1,0.007,PASS,Nominal
CNC-2603,CNC-03,2026-09-09 08:00:00,Outer Diameter,25.0,24.926,0.1,-0.074,PASS,Nominal
CNC-2616,CNC-07,2026-09-09 10:00:00,Outer Diameter,25.0,24.991,0.1,-0.009,PASS,Nominal
CNC-2609,CNC-05,2026-09-09 11:00:00,Outer Diameter,25.0,25.043,0.1,0.043,PASS,Nominal
CNC-2607,CNC-04,2026-09-09 11:00:00,Outer Diameter,25.0,25.039,0.1,0.039,PASS,Nominal
CNC-2601,CNC-02,2026-09-09 11:00:00,Outer Diameter,25.0,25.023,0.1,0.023,PASS,Nominal
CNC-2618,CNC-08,2026-09-09 11:00:00,Outer Diameter,25.0,24.994,0.1,-0.006,PASS,Nominal
CNC-2604,CNC-03,2026-09-09 11:00:00,Outer Diameter,25.0,24.99,0.1,-0.01,PASS,Nominal
CNC-2610,CNC-05,2026-09-09 11:00:00,Outer Diameter,25.0,24.99,0.1,-0.01,PASS,Nominal
CNC-2600,CNC-02,2026-09-09 12:00:00,Outer Diameter,25.0,24.986,0.1,-0.014,PASS,Nominal
CNC-2597,CNC-01,2026-09-09 12:00:00,Outer Diameter,25.0,24.951,0.1,-0.049,PASS,Nominal
CNC-2614,CNC-06,2026-09-09 13:00:00,Outer Diameter,25.0,25.011,0.1,0.011,PASS,Nominal
CNC-2631,CNC-04,2026-09-10 04:00:00,Outer Diameter,25.0,25.02,0.1,0.02,PASS,Nominal
CNC-2643,CNC-08,2026-09-10 04:00:00,Outer Diameter,25.0,25.018,0.1,0.018,PASS,Nominal
CNC-2629,CNC-03,2026-09-10 05:00:00,Outer Diameter,25.0,25.001,0.1,0.001,PASS,Nominal
CNC-2641,CNC-07,2026-09-10 06:00:00,Outer Diameter,25.0,24.977,0.1,-0.023,PASS,Nominal
CNC-2644,CNC-08,2026-09-10 07:00:00,Outer Diameter,25.0,25.008,0.1,0.008,PASS,Nominal
CNC-2630,CNC-04,2026-09-10 07:00:00,Outer Diameter,25.0,25.028,0.1,0.028,PASS,Nominal
CNC-2628,CNC-03,2026-09-10 07:00:00,Outer Diameter,25.0,24.971,0.1,-0.029,PASS,Nominal
CNC-2622,CNC-01,2026-09-10 08:00:00,Outer Diameter,25.0,24.978,0.1,-0.022,PASS,Nominal
CNC-2640,CNC-07,2026-09-10 08:00:00,Outer Diameter,25.0,24.966,0.1,-0.034,PASS,Nominal
CNC-2634,CNC-05,2026-09-10 09:00:00,Outer Diameter,25.0,25.023,0.1,0.023,PASS,Nominal
CNC-2623,CNC-01,2026-09-10 10:00:00,Outer Diameter,25.0,25.008,0.1,0.008,PASS,Nominal
CNC-2632,CNC-04,2026-09-10 10:00:00,Outer Diameter,25.0,25.006,0.1,0.006,PASS,Nominal
CNC-2627,CNC-03,2026-09-10 11:00:00,Outer Diameter,25.0,25.032,0.1,0.032,PASS,Nominal
CNC-2637,CNC-06,2026-09-10 11:00:00,Outer Diameter,25.0,25.053,0.1,0.053,PASS,Nominal
CNC-2639,CNC-07,2026-09-10 12:00:00,Outer Diameter,25.0,24.981,0.1,-0.019,PASS,Nominal
CNC-2638,CNC-06,2026-09-10 12:00:00,Outer Diameter,25.0,24.939,0.1,-0.061,PASS,Nominal
CNC-2635,CNC-05,2026-09-10 12:00:00,Outer Diameter,25.0,25.003,0.1,0.003,PASS,Nominal
CNC-2636,CNC-06,2026-09-10 12:00:00,Outer Diameter,25.0,24.966,0.1,-0.034,PASS,Nominal
CNC-2624,CNC-02,2026-09-10 12:00:00,Outer Diameter,25.0,24.969,0.1,-0.031,PASS,Nominal
CNC-2621,CNC-01,2026-09-10 12:00:00,Outer Diameter,25.0,25.054,0.1,0.054,PASS,Nominal
CNC-2633,CNC-05,2026-09-10 13:00:00,Outer Diameter,25.0,25.01,0.1,0.01,PASS,Nominal
CNC-2626,CNC-02,2026-09-10 13:00:00,Outer Diameter,25.0,24.963,0.1,-0.037,PASS,Nominal
CNC-2625,CNC-02,2026-09-10 13:00:00,Outer Diameter,25.0,25.043,0.1,0.043,PASS,Nominal
CNC-2642,CNC-08,2026-09-10 13:00:00,Outer Diameter,25.0,24.96,0.1,-0.04,PASS,Nominal
CNC-2667,CNC-08,2026-09-11 04:00:00,Outer Diameter,25.0,25.057,0.1,0.057,PASS,Nominal
CNC-2647,CNC-01,2026-09-11 05:00:00,Outer Diameter,25.0,25.021,0.1,0.021,PASS,Nominal
CNC-2662,CNC-06,2026-09-11 05:00:00,Outer Diameter,25.0,24.978,0.1,-0.022,PASS,Nominal
CNC-2665,CNC-07,2026-09-11 06:00:00,Outer Diameter,25.0,25.008,0.1,0.008,PASS,Nominal
CNC-2660,CNC-06,2026-09-11 06:00:00,Outer Diameter,25.0,24.956,0.1,-0.044,PASS,Nominal
CNC-2655,CNC-04,2026-09-11 06:00:00,Outer Diameter,25.0,24.962,0.1,-0.038,PASS,Nominal
CNC-2666,CNC-08,2026-09-11 06:00:00,Outer Diameter,25.0,24.995,0.1,-0.005,PASS,Nominal
CNC-2651,CNC-03,2026-09-11 06:00:00,Outer Diameter,25.0,25.024,0.1,0.024,PASS,Nominal
CNC-2659,CNC-05,2026-09-11 07:00:00,Outer Diameter,25.0,25.002,0.1,0.002,PASS,Nominal
CNC-2663,CNC-07,2026-09-11 07:00:00,Outer Diameter,25.0,25.019,0.1,0.019,PASS,Nominal
CNC-2664,CNC-07,2026-09-11 08:00:00,Outer Diameter,25.0,25.004,0.1,0.004,PASS,Nominal
CNC-2657,CNC-05,2026-09-11 09:00:00,Outer Diameter,25.0,25.012,0.1,0.012,PASS,Nominal
CNC-2654,CNC-04,2026-09-11 09:00:00,Outer Diameter,25.0,25.019,0.1,0.019,PASS,Nominal
CNC-2648,CNC-02,2026-09-11 09:00:00,Outer Diameter,25.0,24.987,0.1,-0.013,PASS,Nominal
CNC-2656,CNC-04,2026-09-11 10:00:00,Outer Diameter,25.0,25.017,0.1,0.017,PASS,Nominal
CNC-2645,CNC-01,2026-09-11 10:00:00,Outer Diameter,25.0,25.012,0.1,0.012,PASS,Nominal
CNC-2646,CNC-01,2026-09-11 10:00:00,Outer Diameter,25.0,24.968,0.1,-0.032,PASS,Nominal
CNC-2652,CNC-03,2026-09-11 11:00:00,Outer Diameter,25.0,25.002,0.1,0.002,PASS,Nominal
CNC-2649,CNC-02,2026-09-11 12:00:00,Outer Diameter,25.0,24.979,0.1,-0.021,PASS,Nominal
CNC-2653,CNC-03,2026-09-11 12:00:00,Outer Diameter,25.0,25.001,0.1,0.001,PASS,Nominal
CNC-2658,CNC-05,2026-09-11 12:00:00,Outer Diameter,25.0,24.985,0.1,-0.015,PASS,Nominal
CNC-2661,CNC-06,2026-09-11 12:00:00,Outer Diameter,25.0,25.003,0.1,0.003,PASS,Nominal
CNC-2668,CNC-08,2026-09-11 13:00:00,Outer Diameter,25.0,25.027,0.1,0.027,PASS,Nominal
CNC-2650,CNC-02,2026-09-11 13:00:00,Outer Diameter,25.0,24.97,0.1,-0.03,PASS,Nominal
CNC-2676,CNC-03,2026-09-12 04:00:00,Outer Diameter,25.0,25.025,0.1,0.025,PASS,Nominal
CNC-2689,CNC-07,2026-09-12 04:00:00,Outer Diameter,25.0,24.999,0.1,-0.001,PASS,Nominal
CNC-2681,CNC-05,2026-09-12 04:00:00,Outer Diameter,25.0,24.968,0.1,-0.032,PASS,Nominal
CNC-2680,CNC-04,2026-09-12 04:00:00,Outer Diameter,25.0,25.044,0.1,0.044,PASS,Nominal
CNC-2672,CNC-02,2026-09-12 04:00:00,Outer Diameter,25.0,25.001,0.1,0.001,PASS,Nominal
CNC-2679,CNC-04,2026-09-12 05:00:00,Outer Diameter,25.0,24.973,0.1,-0.027,PASS,Nominal
CNC-2674,CNC-02,2026-09-12 05:00:00,Outer Diameter,25.0,24.968,0.1,-0.032,PASS,Nominal
CNC-2675,CNC-03,2026-09-12 06:00:00,Outer Diameter,25.0,25.018,0.1,0.018,PASS,Nominal
CNC-2673,CNC-02,2026-09-12 07:00:00,Outer Diameter,25.0,25.011,0.1,0.011,PASS,Nominal
CNC-2678,CNC-04,2026-09-12 07:00:00,Outer Diameter,25.0,25.039,0.1,0.039,PASS,Nominal
CNC-2671,CNC-01,2026-09-12 07:00:00,Outer Diameter,25.0,24.953,0.1,-0.047,PASS,Nominal
CNC-2687,CNC-07,2026-09-12 07:00:00,Outer Diameter,25.0,25.041,0.1,0.041,PASS,Nominal
CNC-2690,CNC-08,2026-09-12 09:00:00,Outer Diameter,25.0,24.979,0.1,-0.021,PASS,Nominal
CNC-2688,CNC-07,2026-09-12 10:00:00,Outer Diameter,25.0,25.042,0.1,0.042,PASS,Nominal
CNC-2682,CNC-05,2026-09-12 11:00:00,Outer Diameter,25.0,25.037,0.1,0.037,PASS,Nominal
CNC-2683,CNC-05,2026-09-12 11:00:00,Outer Diameter,25.0,25.035,0.1,0.035,PASS,Nominal
CNC-2684,CNC-06,2026-09-12 11:00:00,Outer Diameter,25.0,25.054,0.1,0.054,PASS,Nominal
CNC-2685,CNC-06,2026-09-12 11:00:00,Outer Diameter,25.0,24.991,0.1,-0.009,PASS,Nominal
CNC-2677,CNC-03,2026-09-12 12:00:00,Outer Diameter,25.0,24.977,0.1,-0.023,PASS,Nominal
CNC-2670,CNC-01,2026-09-12 12:00:00,Outer Diameter,25.0,24.973,0.1,-0.027,PASS,Nominal
CNC-2669,CNC-01,2026-09-12 12:00:00,Outer Diameter,25.0,25.038,0.1,0.038,PASS,Nominal
CNC-2692,CNC-08,2026-09-12 12:00:00,Outer Diameter,25.0,24.977,0.1,-0.023,PASS,Nominal
CNC-2691,CNC-08,2026-09-12 12:00:00,Outer Diameter,25.0,25.044,0.1,0.044,PASS,Nominal
CNC-2686,CNC-06,2026-09-12 13:00:00,Outer Diameter,25.0,24.921,0.1,-0.079,PASS,Nominal
CNC-2708,CNC-06,2026-09-13 04:00:00,Outer Diameter,25.0,24.964,0.1,-0.036,PASS,Nominal
CNC-2705,CNC-05,2026-09-13 04:00:00,Outer Diameter,25.0,25.023,0.1,0.023,PASS,Nominal
CNC-2699,CNC-03,2026-09-13 04:00:00,Outer Diameter,25.0,25.031,0.1,0.031,PASS,Nominal
CNC-2696,CNC-02,2026-09-13 04:00:00,Outer Diameter,25.0,24.955,0.1,-0.045,PASS,Nominal
CNC-2706,CNC-05,2026-09-13 06:00:00,Outer Diameter,25.0,25.023,0.1,0.023,PASS,Nominal
CNC-2698,CNC-02,2026-09-13 07:00:00,Outer Diameter,25.0,25.023,0.1,0.023,PASS,Nominal
CNC-2703,CNC-04,2026-09-13 07:00:00,Outer Diameter,25.0,24.954,0.1,-0.046,PASS,Nominal
CNC-2710,CNC-06,2026-09-13 07:00:00,Outer Diameter,25.0,25.021,0.1,0.021,PASS,Nominal
CNC-2713,CNC-07,2026-09-13 08:00:00,Outer Diameter,25.0,24.932,0.1,-0.068,PASS,Nominal
CNC-2693,CNC-01,2026-09-13 08:00:00,Outer Diameter,25.0,25.02,0.1,0.02,PASS,Nominal
CNC-2716,CNC-08,2026-09-13 09:00:00,Outer Diameter,25.0,25.033,0.1,0.033,PASS,Nominal
CNC-2715,CNC-08,2026-09-13 09:00:00,Outer Diameter,25.0,25.045,0.1,0.045,PASS,Nominal
CNC-2702,CNC-04,2026-09-13 09:00:00,Outer Diameter,25.0,25.042,0.1,0.042,PASS,Nominal
CNC-2704,CNC-04,2026-09-13 09:00:00,Outer Diameter,25.0,24.974,0.1,-0.026,PASS,Nominal
CNC-2694,CNC-01,2026-09-13 09:00:00,Outer Diameter,25.0,24.934,0.1,-0.066,PASS,Nominal
CNC-2711,CNC-07,2026-09-13 10:00:00,Outer Diameter,25.0,24.983,0.1,-0.017,PASS,Nominal
CNC-2707,CNC-05,2026-09-13 11:00:00,Outer Diameter,25.0,25.006,0.1,0.006,PASS,Nominal
CNC-2701,CNC-03,2026-09-13 12:00:00,Outer Diameter,25.0,24.982,0.1,-0.018,PASS,Nominal
CNC-2700,CNC-03,2026-09-13 12:00:00,Outer Diameter,25.0,25.034,0.1,0.034,PASS,Nominal
CNC-2697,CNC-02,2026-09-13 12:00:00,Outer Diameter,25.0,24.973,0.1,-0.027,PASS,Nominal
CNC-2709,CNC-06,2026-09-13 13:00:00,Outer Diameter,25.0,24.971,0.1,-0.029,PASS,Nominal
CNC-2712,CNC-07,2026-09-13 13:00:00,Outer Diameter,25.0,24.998,0.1,-0.002,PASS,Nominal
CNC-2714,CNC-08,2026-09-13 13:00:00,Outer Diameter,25.0,24.972,0.1,-0.028,PASS,Nominal
CNC-2695,CNC-01,2026-09-13 13:00:00,Outer Diameter,25.0,24.992,0.1,-0.008,PASS,Nominal
CNC-2729,CNC-05,2026-09-14 04:00:00,Outer Diameter,25.0,25.044,0.1,0.044,PASS,Nominal
CNC-2726,CNC-04,2026-09-14 05:00:00,Outer Diameter,25.0,25.003,0.1,0.003,PASS,Nominal
CNC-2735,CNC-07,2026-09-14 05:00:00,Outer Diameter,25.0,25.055,0.1,0.055,PASS,Nominal
CNC-2727,CNC-04,2026-09-14 05:00:00,Outer Diameter,25.0,24.989,0.1,-0.011,PASS,Nominal
CNC-2719,CNC-01,2026-09-14 06:00:00,Outer Diameter,25.0,25.061,0.1,0.061,PASS,Nominal
CNC-2740,CNC-08,2026-09-14 06:00:00,Outer Diameter,25.0,24.976,0.1,-0.024,PASS,Nominal
CNC-2724,CNC-03,2026-09-14 06:00:00,Outer Diameter,25.0,25.004,0.1,0.004,PASS,Nominal
CNC-2728,CNC-04,2026-09-14 07:00:00,Outer Diameter,25.0,25.039,0.1,0.039,PASS,Nominal
CNC-2736,CNC-07,2026-09-14 07:00:00,Outer Diameter,25.0,24.99,0.1,-0.01,PASS,Nominal
CNC-2723,CNC-03,2026-09-14 07:00:00,Outer Diameter,25.0,25.024,0.1,0.024,PASS,Nominal
CNC-2720,CNC-02,2026-09-14 08:00:00,Outer Diameter,25.0,24.996,0.1,-0.004,PASS,Nominal
CNC-2733,CNC-06,2026-09-14 08:00:00,Outer Diameter,25.0,25.033,0.1,0.033,PASS,Nominal
CNC-2722,CNC-02,2026-09-14 10:00:00,Outer Diameter,25.0,24.938,0.1,-0.062,PASS,Nominal
CNC-2731,CNC-05,2026-09-14 10:00:00,Outer Diameter,25.0,25.054,0.1,0.054,PASS,Nominal
CNC-2734,CNC-06,2026-09-14 10:00:00,Outer Diameter,25.0,24.992,0.1,-0.008,PASS,Nominal
CNC-2718,CNC-01,2026-09-14 10:00:00,Outer Diameter,25.0,25.054,0.1,0.054,PASS,Nominal
CNC-2738,CNC-08,2026-09-14 10:00:00,Outer Diameter,25.0,24.972,0.1,-0.028,PASS,Nominal
CNC-2739,CNC-08,2026-09-14 11:00:00,Outer Diameter,25.0,25.029,0.1,0.029,PASS,Nominal
